,0
1,20
2,31
3,31
4,28
5,35
6,27
7,31
8,23
9,18
10,20
11,17
12,22
13,16
14,15
15,11
16,12
17,11
18,20
19,24
20,19
21,19
22,19
23,19
24,16
25,18
26,20
27,16
28,15
29,19
30,18
31,18
32,17
33,17
34,13
35,19
36,20
37,20
38,16
39,18
40,19
41,18
42,19
43,19
44,21
45,18
46,14
47,22
48,18
49,18
50,22
51,17
52,12
53,16
54,22
55,17
56,23
57,16
58,20
59,21
60,14
61,13
62,12
63,19
64,17
65,25
66,20
67,20
68,21
69,23
70,21
71,23
72,30
73,33
74,27
75,40
76,40
77,34
78,32
79,32
80,34
81,34
82,38
83,31
84,40
85,28
86,29
87,23
88,25
89,26
90,28
91,25
92,21
93,23
94,23
95,28
96,23
97,23
98,29
99,27
100,27
101,30
102,27
103,17
104,19
105,17
106,17
107,22
108,26
109,21
110,22
111,19
112,26
113,30
114,35
115,29
116,28
117,31
118,35
119,33
120,36
121,31
122,26
123,33
124,25
125,25
126,23
127,25
128,27
129,29
130,29
131,26
132,32
133,35
134,31
135,27
136,29
137,31
138,28
139,31
140,31
141,27
142,28
143,27
144,25
145,33
146,29
147,27
148,27
149,34
150,29
151,22
152,24
153,26
154,22
155,28
156,23
157,29
158,31
159,24
160,28
161,28
162,26
163,26
164,28
165,32
166,31
167,32
168,31
169,32
170,27
171,25
172,27
173,29
174,26
175,28
176,32
177,32
178,37
179,36
180,35
181,39
182,31
183,34
184,31
185,32
186,30
187,31
188,30
189,28
190,21
191,20
192,20
193,24
194,29
195,24
196,31
197,30
198,24
199,25
200,25
201,26
202,25
203,28
204,26
205,22
206,27
207,19
208,22
209,23
210,21
211,20
212,20
213,22
214,26
215,25
216,21
217,25
218,20
219,22
220,30
221,34
222,31
223,30
224,32
225,29
226,24
227,22
228,26
229,30
230,24
231,21
232,23
233,21
234,23
235,27
236,28
237,24
238,26
239,22
240,22
241,23
242,24
243,22
244,29
245,28
246,27
247,30
248,35
249,29
250,30
251,30
252,27
253,25
254,32
255,33
256,28
257,24
258,29
259,33
260,21
261,17
262,17
263,16
264,21
265,22
266,23
267,21
268,17
269,14
270,23
271,27
272,22
273,24
274,28
275,23
276,23
277,35
278,19
279,20
280,27
281,27
282,30
283,31
284,25
285,24
286,26
287,25
288,24
289,25
290,23
291,32
292,28
293,35
294,25
295,22
296,20
297,23
298,27
299,21
300,24
301,31
302,29
303,26
304,14
305,19
306,24
307,25
308,24
309,24
310,25
311,22
312,28
313,23
314,20
315,32
316,30
317,30
318,34
319,31
320,27
321,30
322,23
323,25
324,26
325,23
326,24
327,24
328,25
329,30
330,17
331,16
332,15
333,24
334,25
335,25
336,21
337,20
338,20
339,21
340,24
341,28
342,26
343,26
344,21
345,26
346,28
347,21
348,29
349,24
350,25
351,23
352,24
353,28
354,26
355,25
356,25
357,31
358,27
359,29
360,21
361,24
362,21
363,30
364,32
365,31
366,31
367,35
368,26
369,35
370,36
371,27
372,27
373,34
374,26
375,25
376,23
377,26
378,24
379,28
380,27
381,28
382,28
383,34
384,24
385,29
386,26
387,26
388,27
389,29
390,30
391,25
392,28
393,24
394,24
395,21
396,23
397,25
398,25
399,21
400,24
