id,count
1,32
2,38
3,39
4,38
5,31
6,34
7,36
8,33
9,28
10,29
11,24
12,27
13,3
14,3
15,16
16,16
17,16
18,27
19,32
20,25
21,26
22,28
23,23
24,23
25,27
26,25
27,23
28,23
29,32
30,33
31,28
32,29
33,27
34,2
35,19
36,25
37,32
38,31
39,24
40,3
41,33
42,27
43,27
44,28
45,33
46,27
47,25
48,25
49,33
50,34
51,21
52,15
53,22
54,25
55,21
56,27
57,29
58,3
59,3
60,18
61,2
62,21
63,28
64,24
65,31
66,29
67,32
68,31
69,3
70,32
71,3
72,39
73,43
74,39
75,44
76,4
77,42
78,39
79,39
80,39
81,35
82,42
83,39
84,42
85,29
86,35
87,28
88,27
89,28
90,27
91,28
92,26
93,26
94,26
95,32
96,33
97,31
98,28
99,29
100,31
101,41
102,34
103,23
104,22
105,24
106,22
107,31
108,37
109,28
110,28
111,26
112,29
113,31
114,4
115,31
116,32
117,34
118,36
119,36
120,36
121,32
122,3
123,36
124,28
125,31
126,21
127,24
128,43
129,36
130,33
131,34
132,41
133,42
134,43
135,37
136,34
137,38
138,36
139,39
140,41
141,31
142,29
143,33
144,35
145,39
146,36
147,28
148,31
149,35
150,32
151,29
152,24
153,33
154,32
155,27
156,29
157,27
158,37
159,35
160,29
161,27
162,32
163,32
164,31
165,34
166,38
167,37
168,38
169,37
170,33
171,29
172,3
173,33
174,32
175,37
176,36
177,4
178,45
179,39
180,42
181,44
182,36
183,34
184,31
185,4
186,42
187,39
188,34
189,33
190,28
191,27
192,28
193,27
194,31
195,29
196,32
197,38
198,3
199,36
200,28
201,35
202,31
203,3
204,3
205,28
206,36
207,24
208,23
209,3
210,26
211,23
212,24
213,3
214,32
215,29
216,3
217,31
218,28
219,25
220,38
221,42
222,4
223,37
224,42
225,34
226,24
227,31
228,35
229,36
230,3
231,27
232,27
233,28
234,36
235,35
236,33
237,34
238,36
239,25
240,24
241,27
242,33
243,33
244,41
245,37
246,35
247,37
248,41
249,4
250,39
251,33
252,3
253,33
254,32
255,36
256,34
257,29
258,36
259,38
260,23
261,23
262,21
263,24
264,3
265,28
266,32
267,29
268,26
269,17
270,35
271,34
272,29
273,3
274,26
275,3
276,32
277,33
278,26
279,26
280,32
281,36
282,4
283,43
284,34
285,29
286,36
287,33
288,38
289,34
290,35
291,4
292,42
293,37
294,28
295,28
296,25
297,32
298,32
299,32
300,33
301,34
302,33
303,32
304,18
305,17
306,27
307,29
308,26
309,27
310,32
311,3
312,33
313,29
314,31
315,34
316,36
317,37
318,41
319,37
320,4
321,41
322,29
323,34
324,36
325,28
326,21
327,32
328,33
329,32
330,2
331,2
332,17
333,31
334,29
335,31
336,27
337,25
338,23
339,28
340,33
341,36
342,36
343,33
344,32
345,31
346,3
347,28
348,28
349,29
350,29
351,29
352,36
353,31
354,29
355,33
356,37
357,43
358,34
359,36
360,28
361,32
362,26
363,37
364,36
365,38
366,43
367,39
368,3
369,45
370,44
371,41
372,38
373,44
374,35
375,32
376,29
377,31
378,25
379,34
380,32
381,41
382,37
383,37
384,37
385,33
386,34
387,32
388,35
389,38
390,3
391,32
392,32
393,33
394,33
395,31
396,32
397,31
398,32
399,34
400,34
