id,count
1,32
2,38
3,42
4,39
5,38
6,36
7,36
8,36
9,25
10,29
11,19
12,26
13,29
14,24
15,15
16,15
17,14
18,26
19,26
20,3
21,25
22,28
23,25
24,22
25,25
26,27
27,24
28,24
29,29
30,3
31,25
32,28
33,27
34,21
35,17
36,23
37,29
38,28
39,27
40,29
41,28
42,27
43,26
44,28
45,31
46,25
47,21
48,22
49,29
50,29
51,18
52,14
53,19
54,25
55,2
56,26
57,25
58,29
59,29
60,17
61,19
62,16
63,27
64,22
65,32
66,28
67,31
68,35
69,35
70,33
71,35
72,39
73,45
74,38
75,51
76,46
77,48
78,41
79,4
80,4
81,4
82,43
83,37
84,46
85,34
86,35
87,29
88,3
89,28
90,3
91,31
92,26
93,25
94,29
95,31
96,31
97,34
98,33
99,3
100,33
101,38
102,34
103,24
104,22
105,23
106,22
107,28
108,34
109,28
110,31
111,26
112,29
113,32
114,43
115,33
116,31
117,38
118,42
119,41
120,39
121,36
122,34
123,38
124,31
125,36
126,26
127,29
128,4
129,37
130,34
131,32
132,41
133,46
134,45
135,36
136,35
137,41
138,38
139,41
140,41
141,34
142,33
143,34
144,35
145,38
146,37
147,29
148,33
149,36
150,37
151,3
152,24
153,37
154,31
155,31
156,29
157,32
158,38
159,36
160,31
161,3
162,35
163,32
164,35
165,4
166,4
167,37
168,41
169,43
170,39
171,33
172,34
173,38
174,33
175,38
176,39
177,4
178,45
179,44
180,47
181,48
182,4
183,41
184,37
185,4
186,41
187,39
188,41
189,35
190,26
191,27
192,25
193,31
194,33
195,31
196,37
197,38
198,3
199,36
200,29
201,39
202,36
203,27
204,27
205,29
206,35
207,27
208,24
209,27
210,29
211,23
212,23
213,29
214,32
215,31
216,31
217,31
218,28
219,28
220,41
221,44
222,43
223,38
224,41
225,36
226,26
227,29
228,33
229,37
230,29
231,27
232,27
233,29
234,37
235,36
236,38
237,39
238,36
239,27
240,23
241,28
242,33
243,3
244,41
245,37
246,36
247,37
248,39
249,39
250,4
251,35
252,32
253,28
254,34
255,36
256,32
257,28
258,38
259,39
260,24
261,21
262,19
263,21
264,27
265,29
266,28
267,28
268,24
269,17
270,33
271,33
272,29
273,3
274,3
275,31
276,31
277,38
278,27
279,27
280,34
281,41
282,38
283,42
284,35
285,31
286,35
287,33
288,35
289,32
290,33
291,42
292,43
293,39
294,34
295,28
296,27
297,32
298,33
299,28
300,34
301,36
302,38
303,32
304,18
305,23
306,3
307,32
308,34
309,31
310,36
311,31
312,34
313,31
314,33
315,37
316,38
317,39
318,4
319,38
320,41
321,41
322,33
323,36
324,35
325,27
326,25
327,35
328,36
329,35
330,2
331,2
332,17
333,31
334,31
335,31
336,27
337,25
338,22
339,28
340,35
341,35
342,37
343,36
344,32
345,34
346,33
347,31
348,31
349,3
350,3
351,31
352,37
353,33
354,32
355,37
356,37
357,47
358,36
359,37
360,27
361,31
362,25
363,37
364,39
365,38
366,43
367,42
368,3
369,46
370,42
371,41
372,4
373,47
374,35
375,32
376,31
377,31
378,26
379,32
380,32
381,42
382,39
383,36
384,36
385,32
386,34
387,31
388,36
389,38
390,33
391,35
392,35
393,34
394,32
395,3
396,32
397,33
398,32
399,32
400,36
