,0
1,30
2,35
3,38
4,35
5,41
6,40
7,36
8,40
9,29
10,28
11,19
12,23
13,27
14,31
15,18
16,17
17,16
18,28
19,31
20,29
21,27
22,25
23,23
24,23
25,27
26,27
27,21
28,28
29,29
30,30
31,25
32,29
33,25
34,21
35,20
36,22
37,28
38,29
39,28
40,31
41,30
42,27
43,25
44,22
45,29
46,24
47,24
48,25
49,30
50,32
51,18
52,16
53,18
54,24
55,20
56,24
57,26
58,28
59,27
60,17
61,16
62,15
63,27
64,23
65,29
66,27
67,33
68,33
69,34
70,31
71,29
72,36
73,39
74,38
75,47
76,43
77,42
78,40
79,37
80,39
81,35
82,34
83,35
84,40
85,31
86,35
87,30
88,32
89,28
90,32
91,31
92,25
93,31
94,32
95,32
96,25
97,32
98,30
99,29
100,31
101,29
102,28
103,23
104,21
105,25
106,25
107,24
108,34
109,30
110,29
111,24
112,29
113,36
114,42
115,36
116,33
117,43
118,37
119,35
120,38
121,31
122,31
123,32
124,34
125,30
126,28
127,28
128,37
129,36
130,37
131,37
132,40
133,42
134,46
135,35
136,36
137,39
138,39
139,42
140,42
141,37
142,31
143,32
144,31
145,32
146,36
147,28
148,34
149,41
150,34
151,30
152,26
153,30
154,33
155,33
156,31
157,33
158,35
159,32
160,32
161,33
162,36
163,31
164,32
165,37
166,35
167,37
168,37
169,39
170,36
171,29
172,29
173,32
174,37
175,41
176,37
177,40
178,40
179,47
180,43
181,40
182,43
183,33
184,36
185,42
186,38
187,40
188,33
189,36
190,25
191,31
192,28
193,31
194,35
195,31
196,32
197,32
198,28
199,33
200,26
201,34
202,36
203,31
204,31
205,28
206,35
207,25
208,23
209,25
210,28
211,24
212,26
213,29
214,33
215,28
216,26
217,29
218,27
219,26
220,38
221,41
222,43
223,35
224,38
225,36
226,26
227,28
228,32
229,31
230,31
231,28
232,31
233,30
234,38
235,36
236,35
237,33
238,36
239,26
240,25
241,24
242,31
243,27
244,36
245,37
246,35
247,39
248,36
249,41
250,38
251,36
252,38
253,33
254,32
255,35
256,30
257,25
258,31
259,35
260,24
261,23
262,23
263,23
264,26
265,32
266,26
267,30
268,24
269,19
270,33
271,30
272,30
273,32
274,30
275,28
276,29
277,38
278,26
279,26
280,33
281,35
282,30
283,43
284,35
285,30
286,34
287,33
288,36
289,37
290,35
291,42
292,44
293,39
294,32
295,31
296,29
297,36
298,31
299,32
300,35
301,36
302,41
303,31
304,25
305,27
306,26
307,32
308,35
309,30
310,31
311,30
312,28
313,30
314,32
315,37
316,40
317,42
318,42
319,40
320,42
321,41
322,42
323,37
324,36
325,26
326,24
327,32
328,33
329,36
330,23
331,25
332,22
333,28
334,34
335,31
336,29
337,25
338,29
339,29
340,36
341,40
342,36
343,36
344,35
345,36
346,39
347,32
348,32
349,31
350,31
351,34
352,36
353,32
354,31
355,30
356,37
357,38
358,40
359,41
360,31
361,33
362,34
363,43
364,35
365,39
366,43
367,45
368,35
369,41
370,42
371,44
372,42
373,45
374,36
375,33
376,34
377,37
378,33
379,39
380,33
381,38
382,37
383,38
384,34
385,38
386,32
387,32
388,35
389,35
390,38
391,35
392,33
393,32
394,30
395,32
396,33
397,32
398,32
399,32
400,35
