,0
1,29
2,26
3,29
4,31
5,29
6,27
7,26
8,28
9,27
10,27
11,24
12,27
13,31
14,25
15,28
16,27
17,28
18,27
19,27
20,30
21,29
22,27
23,30
24,28
25,28
26,29
27,29
28,30
29,31
30,29
31,28
32,29
33,28
34,29
35,26
36,28
37,29
38,27
39,31
40,31
41,32
42,26
43,28
44,28
45,29
46,27
47,27
48,28
49,31
50,32
51,27
52,30
53,26
54,29
55,29
56,27
57,28
58,27
59,28
60,29
61,28
62,26
63,29
64,27
65,27
66,26
67,28
68,27
69,28
70,27
71,30
72,30
73,31
74,31
75,32
76,30
77,32
78,30
79,32
80,31
81,29
82,30
83,30
84,29
85,29
86,29
87,26
88,28
89,31
90,28
91,29
92,30
93,29
94,29
95,29
96,29
97,29
98,30
99,29
100,29
101,29
102,31
103,31
104,30
105,29
106,28
107,30
108,30
109,29
110,30
111,30
112,31
113,29
114,30
115,32
116,30
117,31
118,32
119,32
120,30
121,29
122,29
123,30
124,29
125,31
126,32
127,33
128,30
129,34
130,31
131,32
132,36
133,31
134,31
135,30
136,31
137,31
138,30
139,28
140,30
141,29
142,29
143,31
144,31
145,33
146,32
147,29
148,32
149,29
150,27
151,27
152,27
153,29
154,29
155,29
156,30
157,29
158,29
159,28
160,27
161,28
162,31
163,32
164,30
165,31
166,32
167,30
168,34
169,31
170,31
171,31
172,32
173,31
174,32
175,32
176,31
177,33
178,32
179,30
180,29
181,28
182,31
183,28
184,31
185,31
186,31
187,32
188,31
189,31
190,30
191,31
192,30
193,29
194,30
195,29
196,29
197,31
198,33
199,31
200,29
201,31
202,30
203,28
204,30
205,29
206,29
207,29
208,29
209,27
210,27
211,27
212,27
213,26
214,27
215,25
216,27
217,29
218,26
219,27
220,28
221,27
222,28
223,30
224,29
225,30
226,26
227,28
228,31
229,29
230,30
231,29
232,29
233,31
234,30
235,31
236,27
237,29
238,30
239,27
240,27
241,26
242,27
243,27
244,28
245,28
246,29
247,27
248,27
249,27
250,27
251,27
252,28
253,27
254,29
255,31
256,29
257,28
258,32
259,28
260,28
261,29
262,30
263,29
264,29
265,29
266,30
267,27
268,31
269,28
270,27
271,28
272,25
273,26
274,27
275,26
276,29
277,31
278,27
279,28
280,29
281,29
282,29
283,31
284,30
285,27
286,28
287,29
288,29
289,29
290,28
291,31
292,29
293,28
294,27
295,28
296,29
297,30
298,28
299,28
300,29
301,28
302,27
303,30
304,27
305,25
306,26
307,29
308,29
309,29
310,28
311,29
312,28
313,27
314,27
315,25
316,26
317,27
318,27
319,28
320,28
321,27
322,29
323,28
324,31
325,28
326,27
327,26
328,27
329,28
330,27
331,27
332,26
333,27
334,28
335,28
336,30
337,26
338,29
339,28
340,25
341,28
342,28
343,29
344,28
345,28
346,29
347,28
348,27
349,27
350,28
351,27
352,27
353,29
354,28
355,27
356,27
357,27
358,29
359,27
360,29
361,29
362,28
363,28
364,29
365,29
366,32
367,32
368,30
369,32
370,33
371,32
372,34
373,33
374,29
375,28
376,28
377,28
378,29
379,30
380,29
381,32
382,31
383,30
384,29
385,28
386,30
387,31
388,30
389,30
390,30
391,30
392,28
393,28
394,29
395,30
396,29
397,30
398,30
399,31
400,30
