id,count
1,24
2,32
3,31
4,28
5,35
6,27
7,32
8,27
9,2
10,21
11,18
12,21
13,19
14,17
15,13
16,15
17,13
18,23
19,26
20,22
21,2
22,19
23,2
24,2
25,19
26,21
27,17
28,18
29,2
30,19
31,2
32,19
33,19
34,13
35,2
36,2
37,21
38,2
39,2
40,24
41,19
42,2
43,21
44,21
45,19
46,17
47,23
48,19
49,2
50,24
51,19
52,13
53,17
54,22
55,18
56,27
57,18
58,23
59,25
60,16
61,15
62,14
63,2
64,17
65,25
66,23
67,21
68,25
69,24
70,23
71,23
72,3
73,34
74,29
75,37
76,36
77,34
78,32
79,31
80,34
81,31
82,37
83,3
84,39
85,27
86,27
87,24
88,25
89,23
90,27
91,26
92,21
93,22
94,22
95,27
96,24
97,23
98,3
99,26
100,26
101,3
102,29
103,17
104,19
105,18
106,18
107,23
108,27
109,21
110,2
111,19
112,23
113,32
114,33
115,29
116,27
117,3
118,36
119,32
120,34
121,32
122,26
123,33
124,25
125,24
126,23
127,25
128,28
129,32
130,27
131,24
132,3
133,35
134,34
135,27
136,28
137,31
138,28
139,31
140,29
141,28
142,28
143,26
144,26
145,34
146,28
147,27
148,27
149,34
150,3
151,23
152,23
153,26
154,23
155,28
156,22
157,27
158,32
159,25
160,27
161,28
162,26
163,26
164,27
165,3
166,3
167,31
168,3
169,31
170,27
171,25
172,27
173,3
174,26
175,28
176,33
177,31
178,34
179,36
180,33
181,36
182,31
183,33
184,32
185,32
186,3
187,31
188,32
189,29
190,22
191,22
192,21
193,24
194,28
195,26
196,31
197,32
198,25
199,25
200,24
201,25
202,25
203,28
204,26
205,22
206,28
207,19
208,22
209,23
210,22
211,21
212,21
213,24
214,26
215,25
216,22
217,26
218,21
219,22
220,32
221,33
222,33
223,28
224,32
225,3
226,24
227,23
228,29
229,31
230,26
231,23
232,23
233,22
234,23
235,26
236,28
237,24
238,26
239,23
240,22
241,23
242,24
243,22
244,29
245,27
246,28
247,31
248,35
249,31
250,3
251,28
252,28
253,26
254,31
255,33
256,28
257,25
258,28
259,32
260,22
261,19
262,17
263,16
264,21
265,24
266,23
267,22
268,18
269,15
270,25
271,25
272,24
273,24
274,27
275,25
276,25
277,33
278,2
279,2
280,27
281,29
282,32
283,3
284,25
285,27
286,28
287,27
288,26
289,27
290,24
291,32
292,31
293,33
294,26
295,22
296,22
297,25
298,27
299,24
300,25
301,3
302,32
303,25
304,16
305,21
306,24
307,26
308,25
309,25
310,26
311,22
312,27
313,24
314,22
315,29
316,28
317,32
318,35
319,31
320,28
321,3
322,25
323,26
324,27
325,24
326,23
327,25
328,23
329,32
330,18
331,18
332,17
333,26
334,26
335,26
336,23
337,21
338,21
339,23
340,23
341,29
342,28
343,28
344,24
345,29
346,29
347,24
348,3
349,24
350,24
351,27
352,26
353,27
354,26
355,26
356,25
357,3
358,27
359,29
360,22
361,25
362,22
363,28
364,32
365,31
366,32
367,32
368,27
369,36
370,35
371,28
372,3
373,35
374,26
375,25
376,23
377,25
378,25
379,29
380,28
381,29
382,28
383,32
384,25
385,29
386,25
387,27
388,27
389,29
390,29
391,27
392,28
393,23
394,24
395,22
396,22
397,25
398,25
399,22
400,23
