id,count
1,31
2,36
3,38
4,34
5,42
6,39
7,35
8,42
9,28
10,26
11,16
12,23
13,25
14,29
15,17
16,16
17,15
18,25
19,3
20,28
21,28
22,24
23,24
24,23
25,26
26,26
27,22
28,28
29,3
30,26
31,24
32,28
33,23
34,21
35,19
36,19
37,28
38,27
39,27
40,31
41,31
42,25
43,21
44,21
45,29
46,24
47,25
48,22
49,29
50,29
51,19
52,16
53,18
54,25
55,17
56,22
57,23
58,29
59,27
60,18
61,17
62,15
63,26
64,22
65,28
66,28
67,35
68,33
69,34
70,32
71,28
72,35
73,39
74,38
75,45
76,43
77,4
78,39
79,38
80,39
81,35
82,36
83,34
84,4
85,31
86,37
87,31
88,32
89,28
90,31
91,32
92,22
93,3
94,31
95,31
96,22
97,31
98,27
99,29
100,31
101,29
102,28
103,21
104,21
105,23
106,24
107,23
108,34
109,31
110,27
111,23
112,27
113,35
114,43
115,35
116,34
117,43
118,36
119,35
120,42
121,28
122,32
123,32
124,34
125,29
126,25
127,26
128,34
129,34
130,33
131,36
132,39
133,42
134,45
135,35
136,36
137,39
138,36
139,41
140,41
141,36
142,31
143,29
144,29
145,32
146,34
147,29
148,3
149,37
150,35
151,29
152,26
153,28
154,32
155,32
156,31
157,31
158,34
159,3
160,31
161,3
162,34
163,3
164,32
165,36
166,37
167,38
168,35
169,38
170,33
171,27
172,27
173,32
174,35
175,4
176,36
177,4
178,41
179,47
180,4
181,4
182,45
183,33
184,36
185,42
186,36
187,4
188,35
189,36
190,26
191,3
192,27
193,31
194,35
195,29
196,34
197,3
198,28
199,29
200,24
201,34
202,34
203,31
204,31
205,29
206,35
207,24
208,23
209,25
210,28
211,24
212,25
213,28
214,32
215,27
216,25
217,29
218,27
219,27
220,38
221,41
222,43
223,36
224,38
225,35
226,24
227,25
228,3
229,29
230,31
231,28
232,31
233,29
234,39
235,35
236,37
237,31
238,36
239,26
240,24
241,24
242,31
243,26
244,37
245,36
246,36
247,36
248,32
249,37
250,36
251,36
252,37
253,29
254,31
255,35
256,29
257,25
258,3
259,37
260,23
261,22
262,21
263,2
264,26
265,32
266,26
267,28
268,24
269,2
270,33
271,31
272,31
273,31
274,3
275,28
276,3
277,38
278,26
279,26
280,32
281,36
282,3
283,41
284,34
285,27
286,32
287,31
288,36
289,37
290,36
291,41
292,41
293,36
294,35
295,32
296,27
297,37
298,29
299,32
300,34
301,35
302,41
303,3
304,24
305,28
306,27
307,3
308,33
309,28
310,31
311,29
312,26
313,29
314,31
315,38
316,39
317,41
318,44
319,4
320,41
321,4
322,41
323,37
324,37
325,26
326,24
327,3
328,31
329,35
330,22
331,25
332,21
333,27
334,34
335,3
336,29
337,26
338,29
339,26
340,34
341,4
342,35
343,35
344,33
345,36
346,36
347,33
348,33
349,31
350,3
351,32
352,35
353,32
354,3
355,3
356,36
357,38
358,39
359,39
360,3
361,31
362,35
363,42
364,34
365,39
366,44
367,45
368,36
369,39
370,43
371,41
372,41
373,43
374,35
375,32
376,32
377,37
378,34
379,38
380,32
381,38
382,35
383,35
384,33
385,37
386,31
387,31
388,34
389,36
390,38
391,35
392,34
393,32
394,28
395,29
396,32
397,32
398,31
399,31
400,34
